tag,format,split,theta,policy,global_auc,beat_precision,beat_recall,beat_far,beat_f1,alert_rate,event_precision,event_recall,event_f1,false_alarm_blocks,fp_per_record,fp_per_1000_beats,median_latency_beats
exp7c_int8_tflite,tflite_int8,validation,0.35,1-of-1,0.804657,0.214787,0.858837,0.454015,0.343635,0.505158,0.474078,0.912862,0.624062,5407,200.259259,76.408908,0.0
exp7c_int8_tflite,tflite_int8,validation,0.35,2-of-3,0.804657,0.17002,0.677629,0.478342,0.271836,0.503519,0.536994,0.682702,0.601145,1796,66.518519,25.380137,0.0
exp7c_int8_tflite,tflite_int8,validation,0.35,2-of-4,0.804657,0.17443,0.811745,0.555561,0.287156,0.587926,0.570604,0.810024,0.669555,1265,46.851852,17.876321,0.0
exp7c_int8_tflite,tflite_int8,validation,0.35,3-of-5,0.804657,0.167686,0.671924,0.482272,0.268391,0.506232,0.556877,0.665706,0.606448,1118,41.407407,15.798994,0.0
exp7c_int8_tflite,tflite_int8,validation,0.35,4-of-7,0.804657,0.164015,0.65962,0.48617,0.262708,0.508083,0.572654,0.645974,0.607109,747,27.666667,10.556215,0.0
exp7c_int8_tflite,tflite_int8,validation,0.35,5-of-5,0.804657,0.118736,0.197987,0.21249,0.148446,0.210658,0.422171,0.208843,0.279447,1006,37.259259,14.216268,0.0
exp7c_int8_tflite,tflite_int8,validation,0.4,1-of-1,0.804657,0.270219,0.71868,0.280668,0.392762,0.336004,0.515194,0.81953,0.632665,4898,181.407407,69.215986,0.0
exp7c_int8_tflite,tflite_int8,validation,0.4,2-of-3,0.804657,0.17592,0.427069,0.289289,0.249192,0.306695,0.532117,0.466657,0.497242,1821,67.444444,25.733424,0.0
exp7c_int8_tflite,tflite_int8,validation,0.4,2-of-4,0.804657,0.186616,0.580201,0.365683,0.282401,0.392784,0.608166,0.634308,0.620962,1382,51.185185,19.529704,0.0
exp7c_int8_tflite,tflite_int8,validation,0.4,3-of-5,0.804657,0.162362,0.381096,0.284307,0.22771,0.296535,0.533515,0.409477,0.463338,1197,44.333333,16.915381,0.0
exp7c_int8_tflite,tflite_int8,validation,0.4,4-of-7,0.804657,0.153066,0.351007,0.280846,0.213172,0.289709,0.530732,0.37491,0.439416,878,32.518519,12.407439,0.0
exp7c_int8_tflite,tflite_int8,validation,0.4,5-of-5,0.804657,0.074772,0.054139,0.096872,0.062804,0.091473,0.316647,0.058476,0.098721,587,21.740741,8.295178,0.0
exp7c_int8_tflite,tflite_int8,validation,0.45,1-of-1,0.804657,0.374771,0.550336,0.132764,0.445895,0.185518,0.597366,0.652888,0.623894,2996,110.962963,42.337912,0.0
exp7c_int8_tflite,tflite_int8,validation,0.45,2-of-3,0.804657,0.185057,0.208613,0.132845,0.19613,0.142417,0.572486,0.237649,0.335872,982,36.37037,13.877113,0.0
exp7c_int8_tflite,tflite_int8,validation,0.45,2-of-4,0.804657,0.217522,0.339933,0.176825,0.265287,0.197431,0.715927,0.394498,0.508691,717,26.555556,10.132271,0.0
exp7c_int8_tflite,tflite_int8,validation,0.45,3-of-5,0.804657,0.148422,0.154698,0.128348,0.151495,0.131677,0.567587,0.174996,0.267514,611,22.62963,8.634334,0.0
exp7c_int8_tflite,tflite_int8,validation,0.45,4-of-7,0.804657,0.126134,0.125951,0.126181,0.126042,0.126152,0.559643,0.140573,0.224704,395,14.62963,5.581934,0.0
exp7c_int8_tflite,tflite_int8,validation,0.45,5-of-5,0.804657,0.039723,0.00962,0.033628,0.015489,0.030595,0.150127,0.011234,0.020904,334,12.37037,4.719914,0.0
exp7c_int8_tflite,tflite_int8,validation,0.5,1-of-1,0.804657,0.477026,0.437808,0.069407,0.456576,0.115949,0.642105,0.528734,0.579931,2040,75.555556,28.828218,0.0
exp7c_int8_tflite,tflite_int8,validation,0.5,2-of-3,0.804657,0.215831,0.127181,0.066819,0.160051,0.074445,0.557738,0.148783,0.234903,743,27.518519,10.499689,0.0
exp7c_int8_tflite,tflite_int8,validation,0.5,2-of-4,0.804657,0.249086,0.228523,0.099622,0.238362,0.115906,0.711067,0.271352,0.392805,577,21.37037,8.153864,0.0
exp7c_int8_tflite,tflite_int8,validation,0.5,3-of-5,0.804657,0.156703,0.079754,0.062063,0.105708,0.064298,0.523198,0.092611,0.157367,483,17.888889,6.825504,0.0
exp7c_int8_tflite,tflite_int8,validation,0.5,4-of-7,0.804657,0.118254,0.055145,0.059459,0.075216,0.058914,0.487302,0.062797,0.111257,323,11.962963,4.564468,0.0
exp7c_int8_tflite,tflite_int8,validation,0.5,5-of-5,0.804657,0.034539,0.002349,0.009495,0.004399,0.008592,0.098485,0.002593,0.005052,119,4.407407,1.681646,0.0
exp7c_int8_tflite,tflite_int8,validation,0.55,1-of-1,0.804657,0.546561,0.346644,0.041586,0.42423,0.080125,0.667271,0.422872,0.517676,1468,54.37037,20.745012,0.0
exp7c_int8_tflite,tflite_int8,validation,0.55,2-of-3,0.804657,0.262466,0.087136,0.035407,0.130836,0.041942,0.566007,0.104422,0.176315,526,19.481481,7.433158,0.0
exp7c_int8_tflite,tflite_int8,validation,0.55,2-of-4,0.804657,0.267586,0.149776,0.059281,0.192054,0.070714,0.656504,0.180902,0.283644,507,18.777778,7.16466,0.0
exp7c_int8_tflite,tflite_int8,validation,0.55,3-of-5,0.804657,0.185135,0.045973,0.02926,0.073656,0.031372,0.519231,0.055163,0.099731,325,12.037037,4.592731,0.0
exp7c_int8_tflite,tflite_int8,validation,0.55,4-of-7,0.804657,0.12343,0.02528,0.025961,0.041965,0.025875,0.427861,0.029526,0.05524,230,8.518519,3.25024,0.0
exp7c_int8_tflite,tflite_int8,validation,0.55,5-of-5,0.804657,0.017007,0.000559,0.004675,0.001083,0.004155,0.108696,0.00072,0.001431,41,1.518519,0.579391,0.0
exp7c_int8_tflite,tflite_int8,validation,0.6,1-of-1,0.804657,0.585533,0.258054,0.026414,0.35823,0.055678,0.677693,0.320467,0.435157,1062,39.333333,15.007631,0.0
exp7c_int8_tflite,tflite_int8,validation,0.6,2-of-3,0.804657,0.315821,0.059843,0.018747,0.100621,0.023939,0.606635,0.074463,0.132645,332,12.296296,4.691651,0.0
exp7c_int8_tflite,tflite_int8,validation,0.6,2-of-4,0.804657,0.288417,0.097204,0.034679,0.145403,0.042578,0.646231,0.120265,0.20279,352,13.037037,4.974281,0.0
exp7c_int8_tflite,tflite_int8,validation,0.6,3-of-5,0.804657,0.205556,0.024832,0.013878,0.044311,0.015262,0.553525,0.03111,0.05891,171,6.333333,2.416483,0.0
exp7c_int8_tflite,tflite_int8,validation,0.6,4-of-7,0.804657,0.101673,0.008837,0.01129,0.01626,0.01098,0.415301,0.011234,0.021877,107,3.962963,1.512068,0.0
exp7c_int8_tflite,tflite_int8,validation,0.6,5-of-5,0.804657,0.0,0.0,0.002717,0.0,0.002374,0.0,0.0,0.0,32,1.185185,0.452207,
exp7c_int8_tflite,tflite_int8,validation,0.65,1-of-1,0.804657,0.632613,0.180089,0.015124,0.280366,0.035965,0.707089,0.227855,0.344649,657,24.333333,9.284382,0.0
exp7c_int8_tflite,tflite_int8,validation,0.65,2-of-3,0.804657,0.405782,0.042394,0.008977,0.076767,0.013199,0.711027,0.054155,0.100645,152,5.62963,2.147985,0.0
exp7c_int8_tflite,tflite_int8,validation,0.65,2-of-4,0.804657,0.331389,0.063535,0.018536,0.106627,0.024221,0.69808,0.080945,0.145068,173,6.407407,2.444746,0.0
exp7c_int8_tflite,tflite_int8,validation,0.65,3-of-5,0.804657,0.268376,0.017562,0.006923,0.032966,0.008267,0.715596,0.022613,0.04384,62,2.296296,0.876152,0.0
exp7c_int8_tflite,tflite_int8,validation,0.65,4-of-7,0.804657,0.123007,0.00604,0.006227,0.011515,0.006204,0.582418,0.007778,0.01535,38,1.407407,0.536996,0.0
exp7c_int8_tflite,tflite_int8,validation,0.65,5-of-5,0.804657,0.0,0.0,0.001165,0.0,0.001017,0.0,0.0,0.0,18,0.666667,0.254367,
exp7c_int8_tflite,tflite_int8,test,0.35,1-of-1,0.889437,0.199853,0.964514,0.470603,0.3311,0.524257,0.410024,0.985644,0.579132,4626,201.130435,89.162153,0.0
exp7c_int8_tflite,tflite_int8,test,0.35,2-of-3,0.889437,0.148622,0.697303,0.486799,0.24502,0.509666,0.362968,0.658591,0.468005,1820,79.130435,35.078928,0.0
exp7c_int8_tflite,tflite_int8,test,0.35,2-of-4,0.889437,0.151627,0.831796,0.567172,0.256497,0.595918,0.446541,0.804621,0.57434,1408,61.217391,27.137984,0.0
exp7c_int8_tflite,tflite_int8,test,0.35,3-of-5,0.889437,0.14576,0.675834,0.482691,0.239801,0.503672,0.428115,0.639749,0.512961,1074,46.695652,20.700422,0.0
exp7c_int8_tflite,tflite_int8,test,0.35,4-of-7,0.889437,0.146408,0.67406,0.478928,0.240565,0.500125,0.454288,0.623374,0.525566,770,33.478261,14.841085,0.0
exp7c_int8_tflite,tflite_int8,test,0.35,5-of-5,0.889437,0.137746,0.310149,0.236599,0.190767,0.244589,0.328643,0.250561,0.284339,668,29.043478,12.875123,0.0
